,significado,Notas,fuentes:,https://fminside.net/guides/basic-guides/28-player-attributes-in-football-manager
UID ,Player id,,,https://community.sports-interactive.com/sigames-manual/football-manager-2022/players-r4507/
Inf ,Players current situation,,,https://footballmanager.fandom.com/wiki/Player_status
Name ,,,,
DoB ,Date of Birth,,,
Nat ,Nationality,,,
Division ,Liga en la que juega su equipo,,,
Club ,Equipo en el que juega,,,
Based ,Pa�s y liga en la que juega,,,
Preferred Foot ,,,,
Right Foot ,Fortaleza/habilidad con el pie derecho,,,
Left Foot ,Fortaleza/habilidad con el pie izquierdo,,,
Position ,,,,
Height ,Altura,En centimetros,,
Weight ,Peso,En kilogramos,,
Age ,,,,
Transfer Value ,Valor de transferencia,Es un rango; esta en euros,,
Wage ,Salario,En euros al mes,,
AT Apps ,All time Appearances,,,
AT Gls ,All time goals,,,
Team ,,,,
Caps ,Capitanias con selecci�n,,,
Yth Apps ,Youth team Appearances,,,
Style ,,,,
Rc Injury ,Recurring injury,,,
Best Role ,,,,
Best Duty ,,,,
Best Pos ,,,,
Acc ,Acceleration,,,
Aer ,Aerial Reach,Habilidad de portero,,
Agg ,Aggression,,,
Agi ,Agility,,,
Ant ,Anticipation,,,
Bal ,Balance,,,
Bra ,Bravery,,,
Cmd ,Command of Area,Habilidad de portero,,
Com ,Communication,Habilidad de portero,,
Cmp ,Composure,,,
Cnt ,Concentration,,,
Cor ,Corners,,,
Cro ,Crossing,,,
Dec ,Decisions,,,
Det ,Determination,,,
Dri ,Dribbling,,,
Ecc ,Eccentricity,Habilidad de portero,,
Fin ,Finishing,,,
Fir ,First Touch,Habilidad de portero,,
Fla ,Flair,,,
Fre ,Free kick taking,,,
Han ,Handling,Habilidad de portero,,
Hea ,Heading,,,
Jum ,Jumping Reach,,,
Kic ,Kicking,Habilidad de portero,,
Ldr ,Leadership,,,
Lon ,Long shots,,,
L Th ,Long Throws,,,
Mar ,Marking,,,
Nat .1 ,*Natural fitness,,,
OtB ,Off the ball,,,
1v1 ,One on Ones,Habilidad de portero,,
Pac ,Pace,,,
Pas ,Passing,Habilidad de portero,,
Pen ,Penalty Taking,,,
Pos ,Positioning,,,
Pun ,Tendency to Punch,Habilidad de portero,,
Ref ,Reflexes,Habilidad de portero,,
TRO ,Tendency to Rush Out,Habilidad de portero,,
Sta ,Stamina,,,
Str ,Strength,,,
Tck ,Tackling,,,
Tea ,Teamwork,,,
Tec ,Technique,,,
Thr ,Throwing,Habilidad de portero,,
Vis ,Vision,,,
Wor ,Work rate,,,